Average entropy for each pages posts controlling for date:
            name            | gender |          avg           
 R. Mark Armstrong          | M      | 0.67930955999788220000
 Lauren Witzke              | F      | 0.68194144075262086405
 Tricia Flanagan            | F      | 0.68695174747019806739
 Paul John Frangedakis      | M      | 0.68736674561552095000
 Ricky Dale Harrington Jr.  | M      | 0.68780217140748918647
 Joshua Wheeler             | M      | 0.69373582748750837941
 Usha Reddi                 | F      | 0.69493095612368361289
 Theresa Greenfield         | F      | 0.69998591278364371021
 Sharon Hudson              | F      | 0.70540935843293425000
 Barbara Bollier            | F      | 0.71622659868379246063
 Doug Jones                 | M      | 0.71972051850173020276
 Mark Kelly                 | M      | 0.72233778324570814911
 Cal Cunningham             | M      | 0.72502017042367108353
 J.J. Stitt                 | M      | 0.72539578423416067753
 Dan Whitfield              | M      | 0.73136537361033754354
 Kelly Loeffler             | F      | 0.73169406208308431431
 Willie Wilson              | M      | 0.73764968643058261634
 Roy Moore                  | M      | 0.73850558638194162302
 Antoine Pierce             | M      | 0.74159441683052908757
 Daniel McCarthy            | M      | 0.74172567825120836886
 Jon Ossoff                 | M      | 0.74300609743283703829
 Matt Lieberman             | M      | 0.74413383252551701658
 Tina Smith                 | F      | 0.74541389088882501555
 Jim Inhofe                 | M      | 0.74589651022836276717
 Amanda Edwards             | F      | 0.74998826056411116733
 Trevor Fuller              | M      | 0.75076765934115772500
 Jason Lewis                | M      | 0.75408738646419147302
 Amy McGrath                | F      | 0.75855676696813550189
 Abby Broyles               | F      | 0.76227828071994978785
 James Mackler              | M      | 0.76328657116261945704
 Paula Jean Swearengin      | F      | 0.77520904405454429800
 Cora Neumann               | F      | 0.77709589576670923344
 Elizabeth McLeod           | F      | 0.77724619270857883333
 Kerry McKennon             | M      | 0.78526099920702145833
 Jaime Harrison             | M      | 0.78540898322568364465
 Steve Daines               | M      | 0.78580357206486996969
 Cristina Tzintzún Ramirez  | F      | 0.78748409961870673933
 Byron Bush                 | M      | 0.78866967314229477051
 Michael K. Cooper          | M      | 0.79320235092436463000
 Jeff Sessions              | M      | 0.79328103883724753746
 Thom Tillis                | M      | 0.79380821295642309536
 Jess Scarane               | F      | 0.79425999307688841053
 Joni Ernst                 | F      | 0.79832215957234017657
 Annie "Mama" Garcia        | F      | 0.80213671024421159240
 Sarah Riggs Amico          | F      | 0.80355462582936893805
 Angie Philips              | F      | 0.80400581792587394143
 Raphael Warnock            | M      | 0.81052076805019873333
 Lawrence Hamm              | M      | 0.81179286061200772077
 Kimberly Graham            | F      | 0.81264824112877968315
 Peggy Hubbard              | F      | 0.81702370606774593497
 Lisa Savage                | F      | 0.81767209379622147525
 Eric Rothmuller            | M      | 0.82737191131348260000
 Martha McSally             | F      | 0.83793597201768375682
 Elisa Martinez             | F      | 0.84093900885501335113
 Mike Broihier              | M      | 0.84224113659641281731
 Mick Rich                  | M      | 0.84405837402271963970
 Ed Markey                  | M      | 0.84483647607117973257
 Teresa Tomlinson           | F      | 0.85094540170099256109
 Betsy Sweet                | F      | 0.85360220363619270288
 Erica D. Smith             | F      | 0.85617369799554440814
 Paul Romero                | M      | 0.86627487688947567611
 Elysabeth Britt            | F      | 0.86682903056559008889
 David Perdue               | M      | 0.87521300894178189241
 Joe Kennedy III            | M      | 0.88954347029491466125
 Chris Janicek              | M      | 0.89475230471210162500
 Justin O'Donnell           | M      | 0.89757467101758573000
 Shelley Moore Capito       | F      | 0.90330568577308231765
 Veronica Fernandez         | F      | 0.90730098361536760000
 Brian Matlock              | M      | 0.91189935081525090909
 Charles Booker             | M      | 0.92821909257353592846
 Paula Overby               | F      | 0.93386701953247330000
 Yana Ludwig                | F      | 0.93525147192095174282
 Tom Cotton                 | M      | 0.94493688271758052590
 Ben Sasse                  | M      | 0.94748864476285941769
 Wesley Morgan              | M      | 0.94849613343360117915
 Doug Collins               | M      | 0.95597613069933410412
 Stephany Rose Spaulding    | F      | 0.96327979730372495341
 Trish Zornio               | F      | 0.96340892659304289936
 Lorena Garcia              | F      | 0.96609910183561926719
 Bill Cassidy               | M      | 0.97118750175185880277
