Name,Gender,Page Name,Page URL,Election,Party,Incumbent Status,Challenged in Primary,Challenged in General,Posts Collected,Notes,
Michelle Ferrigno Warren,F,Michelle Ferrigno Warren For United States Senate,MichelleForColorado,Colorado,Democrat,0,Yes,Yes,,,
Trish Zornio,F,Trish Zornio,TrishZornio2020,Colorado,Democrat,0,Yes,Yes,,,
Véronique Bellamy,,,,Colorado,Socialist Party,0,No,Yes,,"page not updated recently, from last campaign vmbellamy/",
Stephan Evans,M,(see notes),,Colorado,Unity Party of Colorado,0,Yes,Yes,,Personal Page,
Joshua Rodriquez,,,,Colorado,Unity Party of Colorado,0,Yes,Yes,,,
Erik Underwood,M,Erik Underwood for Colorado,Erik4CO,Colorado,Democrat,0,Yes,Yes,,,
Chris Coons,M,Chris Coons,chriscoons,Delaware,Democrat,10,Yes,Yes,,,
Jess Scarane,F,Jessica Scarane,JessforDelaware,Delaware,Democrat,0,Yes,Yes,,,
Scott Walker,,n/a,n/a,Delaware,Democrat,0,Yes,Yes,,,
Lauren Witzke,F,Lauren Witzke for Delaware,LaurenWitzkeforDE,Delaware,Republican,0,Yes,Yes,,,
James DeMartino,M,DeMartino For State Representative,VoteDeMartino,Delaware,Republican,0,Yes,Yes,,,
Mark Turley ,M,Mark Turley ,MarkTurley2020,Delaware,Independent,0,No,Yes,,,
SEPARATOR,,,,,,,,,,,
Shiva Ayyadurai,M,V.A. Shiva Ayyadurai,va.shiva.ayyadurai,Massachusetts,Republican,0,Yes,Yes,,,
Joe Kennedy III,M,Joe Kennedy III,JoeKennedyIII,Massachusetts,Democrat,0,Yes,Yes,,,
Ed Markey,M,Ed Markey,EdMarkeyforMA,Massachusetts,Democrat,7,Yes,Yes,,,
Kevin O'Connor,M,Kevin O'Connor for US Senate,KOCforSenate,Massachusetts,Republican,0,Yes,Yes,,,
Washington Blask,,n/a,n/a,Massachusetts,Democrat,0,Yes,Yes,,,
Andre Gray,,,,Massachusetts,Green,0,No,Yes,,,
Frederick Mayock,,,,Massachusetts,Independent,0,No,Yes,,Personal Page,
Alexandra Marie Holden,F,n/a,n/a,Minnesota,Dem-Farmer-Labor Party,0,No,Yes,,,
Tina Smith,F,Tina Smith,TinaSmithMN,Minnesota,Democrat,3,Yes,Yes,,,
Steve Carlson,M,Democrat Steve Carlson for U.S Senator for 2020,Carlson2016,Minnesota,Democrat,0,Yes,Yes,,,
Paula Overby,F,Paula Overby for US Senate,PaulaForSenate,Minnesota,Democrat,0,Yes,Yes,,,
Rob Barrett Jr.,M,"Rob Barrett, Jr. for US Senate",RobBarrettforSenate,Minnesota,Republican,0,Yes,Yes,,,
Christopher Chamberlin,,,,Minnesota,Republican,0,Yes,Yes,,no posts recent enough for crawler,
Forest Hyatt,M,Hyatt for Senate,Hyatt4Senate,Minnesota,Republican,0,Yes,Yes,,,
Jason Lewis,M,Jason Lewis,LewisForMN,Minnesota,Republican,0,Yes,Yes,,,
Theron Preston Washington,M,n/a,n/a,Minnesota,Republican,0,Yes,Yes,,,
Gary Peters,M,Gary Peters,PetersForMichigan,Michigan,Democrat,6,No,Yes,,,
John James,M,John James,JohnJamesMI,Michigan,Republican,0,Yes,Yes,,,
Bob Carr,,,,Michigan,Republican,0,Yes,Yes,,Personal Page,
Valerie Willis,F,Valerie Willis 4 US Senate,Willis4ussenate,Michigan,None,0,No,Yes,,,
Gregory Charles Jones,,n/a,n/a,Michigan,Other,0,No,Yes,,,
Doc Bolduc,M,Doc Bolduc,gendonbolduc,New Hampshire,Republican,0,Yes,Yes,,,
Corky Messner,M,Corky Messner for Senate,CorkyForSenate,New Hampshire,Republican,0,Yes,Yes,,,
Justin O'Donnell,M,Justin O'Donnell for U.S. Senate,justin4liberty,New Hampshire,Libertarian,0,No,Yes,,,
Jeanne Shaheen,F,Jeanne Shaheen,jeanneshaheenNH,New Hampshire,Democrat,12,No,Yes,,,
Andy Martin,M,,,New Hampshire,Republican,0,Yes,Yes,,no posts recent enough for crawler,
Madelyn Hoffman,F,Hoffman for Senate 2020,HoffmanforSenate2020,New Jersey,G,0,No,Yes,,,
Daniel Burke,M,Daniel Burke for U.S. Senate,Burke4Senate,New Jersey,Independent,0,Yes,Yes,,,
Veronica Fernandez,F,Veronica Fernandez for US Senate,VeronicaforNJ2020,New Jersey,Independent,0,Yes,Yes,,,
Luis Vergara,M,n/a,n/a,New Jersey,Independent,0,Yes,Yes,,,
Cory Booker,M,Cory Booker,corybooker,New Jersey,Democrat,8,Yes,Yes,,,
Lawrence Hamm,M,Lawrence Hamm for US Senate,hammforsenate,New Jersey,Democrat,0,Yes,Yes,,,
Eugene Anagnos,M,n/a,n/a,New Jersey,Republican,0,Yes,Yes,,,
Tricia Flanagan,F,Tricia Flanagan for U.S. Senate,NewDayForNJ,New Jersey,Republican,0,Yes,Yes,,,
Rik Mehta,M,Rik Mehta for Senate,RikMehtaForNewJersey,New Jersey,Republican,0,Yes,Yes,,,
Natalie Rivera,F,NatalieRivera4Senate2020,Natalie4NJ,New Jersey,Republican,0,Yes,Yes,,,
Hirsh Singh,M,Hirsh Singh,HirshSinghNJ,New Jersey,Republican,0,Yes,Yes,,,
Abby Broyles,F,Abby Broyles,abbybroylesforsenate,Oklahoma,Democrat,0,,,,,
Tyler Dougherty,,,,Oklahoma,Democrat,0,,,,,
Jim Inhofe,M,Jim Inhofe,jiminhofeforsenate,Oklahoma,Republican,26,,,,,
Bevon Rogers,,,,Oklahoma,Democrat,0,,,,,
J.J. Stitt,M,JJ STITT for US Senate,JJSTITTforUSSenate,Oklahoma,Republican,0,,,,,
Mike Workman,,,,Oklahoma,Democrat,0,,,,,
April Nesbit,,,,Oklahoma,Independent,0,,,,,
Dylan Billings,,,,Oklahoma,Democrat,0,,,,,
Elysabeth Britt,F,Elysabeth Britt for U.S. Senate,BrittForUSSenate,Oklahoma,Democrat,0,,,,,
Paul Tay,,,,Oklahoma,Democrat,0,,,,,
Perry Williams,,,,Oklahoma,Democrat,0,,,,,
Mike Workman,M,Workman 4 Oklahoma,Workman4OK,Oklahoma,Democrat,0,,,,,
Jack Reed,M,n/a,n/a,Rhode Island,Democratic,22,No,Yes,,,
Allen Waters,M,Allen Waters for U.S. Senate,allenwatersforsenate,Rhode Island,Republican,0,No,Yes,,,
Jaime Harrison,M,Jaime Harrison,JaimeHarrisonSC,South Carolina,Democrat,0,No,Yes,,,
Bill Bledsoe,M,n/a,n/a,South Carolina,Constitution Party,0,No,Yes,,,
Lindsey Graham,M,Lindsey Graham,LindseyGrahamSC,South Carolina,Republican,18,Yes,Yes,,,
Duke Buckner,M,"Dwayne ""Duke"" Buckner",dukeforsenate,South Carolina,Republican,0,Yes,Yes,,,
Michael LaPierre,M,Michael LaPierre for U.S. Senate,lapierreforsenate,South Carolina,Republican,0,Yes,Yes,,,
Joseph Reynolds,M,,,South Carolina,Republican,0,Yes,Yes,,https://reynolds2020.com,
Keenan Wallace Dunham,M,n/a,n/a,South Carolina,Libertarian,0,Yes,Yes,,fucker has guts Dunham2020,
David Weikle,M,David Weikle for US Senate,WeikleforSenate,South Carolina,Libertarian,0,Yes,Yes,,,
Clifford Adkins,,,,Tennessee,Republican,0,Yes,Yes,,,
Marquita Bradshaw,F,Marquita Bradshaw,Bradshaw2020Senate,Tennessee,Democrat,0,Yes,Yes,,,
Natisha Brooks,,,,Tennessee,Republican,0,Yes,Yes,,,
Byron Bush,M,Bush For Senate,BushforSenate,Tennessee,Republican,0,Yes,Yes,,,
Tharon Chandler,M,"Tharon Chandler for US Senate, TN 2020",Tharon-Chandler-for-US-Senate-TN-2020-104696114365407,Tennessee,Democrat,0,Yes,Yes,,,
Roy Dale Cope,M,CopeTN2020,CopeTN2020-112033680289313,Tennessee,Republican,0,Yes,Yes,,,
